2026-07-19T19:37:52-05:00
Running ./build/ejecutable_experimentos
Run on (12 X 4400 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 1280 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 1.00, 1.28, 1.17
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparaciones","Intercambios","RAM_Auxiliar_KB"
"BM_BubbleSort/1000/1/repeats:30",274,2.46157e+06,2.45696e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.43446e+06,2.42935e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.49734e+06,2.49121e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.47667e+06,2.4718e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.47437e+06,2.46957e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.51405e+06,2.50755e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.56731e+06,2.55299e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.58092e+06,2.56444e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.56858e+06,2.5481e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.78066e+06,2.76979e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.58948e+06,2.57802e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.65705e+06,2.64623e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30_mean",30,2.51295e+06,2.5047e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30_median",30,2.47937e+06,2.47273e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30_stddev",30,89608.8,86390.4,ns,,,,,,0,0,0
"BM_BubbleSort/1000/1/repeats:30_cv",30,1.18862e+06,1.14971e+06,ns,,,,,,0,-nan,-nan
"BM_BubbleSort/1000/2/repeats:30",100,7.24104e+06,7.22208e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.16605e+06,7.15037e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.2463e+06,7.19849e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.22287e+06,7.20705e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.17086e+06,7.11784e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.22979e+06,7.21402e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.31407e+06,7.27686e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.05762e+06,7.04385e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.09691e+06,7.08395e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.16767e+06,7.12807e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.21251e+06,7.19622e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.27122e+06,7.13161e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.27399e+06,7.24445e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.13418e+06,7.11889e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.16886e+06,7.13734e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.12587e+06,7.04724e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.10444e+06,7.08936e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.21064e+06,7.19264e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.17842e+06,7.16224e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.10037e+06,7.08706e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.10319e+06,7.04685e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.18252e+06,7.15979e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.27444e+06,7.25133e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.17181e+06,7.14937e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.30608e+06,7.27649e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.43371e+06,7.40349e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.31583e+06,7.2832e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.52422e+06,7.4883e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.23506e+06,7.21264e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30",100,7.03271e+06,7.02004e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30_mean",30,7.20911e+06,7.17804e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30_median",30,7.19658e+06,7.16102e+06,ns,,,,,,499500,499500,0
"BM_BubbleSort/1000/2/repeats:30_stddev",30,105124,103641,ns,,,,,,0,0,0
"BM_BubbleSort/1000/2/repeats:30_cv",30,486072,481288,ns,,,,,,0,0,-nan
"BM_BubbleSort/1000/3/repeats:30",200,3.55296e+06,3.52335e+06,ns,,,,,,499500,60036,0
"BM_BubbleSort/1000/3/repeats:30",200,3.47904e+06,3.44643e+06,ns,,,,,,499500,61336,0
"BM_BubbleSort/1000/3/repeats:30",200,3.37731e+06,3.37022e+06,ns,,,,,,499500,64708,0
"BM_BubbleSort/1000/3/repeats:30",200,3.43356e+06,3.41707e+06,ns,,,,,,499500,63962,0
"BM_BubbleSort/1000/3/repeats:30",200,3.40646e+06,3.40009e+06,ns,,,,,,499500,62428,0
